MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
ESA01405,AB076315,Glomeromycetes,Glomerales,Glomeraceae,Glomus,GlAb1.3,VTX00113,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,grassland,Temperate seminatural grassland,temperate grassland,temperate,Palearctic,5.5,,13 Âµg g-1 (Truog),,,1633,Asia,Japan,Miyagi Prefecture,"Experimental Farm of Tohoku University, Miyagi",38deg44.00'N 140deg44.00'E,,AMV4.5NF,AMV4.5NR,18S rDNA,Sanger,,Mycorrhiza,2004,Defoliation effects on the community structure of arbuscular mycorrhizal fungi based on 18S rDNA sequences,"Saito, M.; Suyama, Y.; Sato, S.; Sugawara, K."
ESA02092,AB076317,Glomeromycetes,Glomerales,Glomeraceae,Glomus,GlAb1.1,VTX00113,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Zoysia,japonica,grassland,Temperate seminatural grassland,temperate grassland,temperate,Palearctic,5.5,,3.3 Âµg g-1 (Truog),,,1633,Asia,Japan,Miyagi Prefecture,"Experimental Farm of Tohoku University, Miyagi",38deg44.00'N 140deg44.00'E,,AMV4.5NF,AMV4.5NR,18S rDNA,Sanger,,Mycorrhiza,2004,Defoliation effects on the community structure of arbuscular mycorrhizal fungi based on 18S rDNA sequences,"Saito, M.; Suyama, Y.; Sato, S.; Sugawara, K."
ESA02044,AB326001,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Yamato08 B,VTX00113,plant roots,,Magnoliidae,Asteranae,Solanales,Convolvulaceae,Ipomoea,pes-caprae,successional,Azonal & successional,coastal vegetation,subtropical,Palearctic,9.23,,7.8 mg kg-1 (Truog),,,1944,Asia,Japan,Okinawa Prefecture,Tamagusuku,26deg8.00'N 127deg47.00'E,,NS31,AM1,18S rDNA,Sanger,,Mycorrhiza,2008,Community of arbuscular mycorrhizal fungi in a coastal vegetation on Okinawa island and effect of the isolated fungi on growth of sorghum under salt-treated conditions,"Yamato, M.; Ikeda, S.; Iwase, K."
ESA02046,AB326005,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Yamato08 B,VTX00113,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Vigna ,marina,successional,Azonal & successional,coastal vegetation,subtropical,Palearctic,9.23,,7.8 mg kg-1 (Truog),,,1944,Asia,Japan,Okinawa Prefecture,Tamagusuku,26deg8.00'N 127deg47.00'E,,NS31,AM1,18S rDNA,Sanger,,Mycorrhiza,2008,Community of arbuscular mycorrhizal fungi in a coastal vegetation on Okinawa island and effect of the isolated fungi on growth of sorghum under salt-treated conditions,"Yamato, M.; Ikeda, S.; Iwase, K."
ESA02052,AB326016,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Yamato08 B,VTX00113,cultured spores,isolate OGS1,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,successional,Azonal & successional,coastal vegetation,subtropical,Palearctic,9.23,,7.8 mg kg-1 (Truog),,,1944,Asia,Japan,Okinawa Prefecture,Tamagusuku,26deg8.00'N 127deg47.00'E,,NS31,AM1,18S rDNA,Sanger,,Mycorrhiza,2008,Community of arbuscular mycorrhizal fungi in a coastal vegetation on Okinawa island and effect of the isolated fungi on growth of sorghum under salt-treated conditions,"Yamato, M.; Ikeda, S.; Iwase, K."
ESA02047,AB326017,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Yamato08 B,VTX00113,plant roots,,Magnoliidae,Asteranae,Solanales,Convolvulaceae,Ipomoea,pes-caprae,successional,Azonal & successional,coastal vegetation,subtropical,Palearctic,9.23,,7.8 mg kg-1 (Truog),,,1944,Asia,Japan,Okinawa Prefecture,Tamagusuku,26deg8.00'N 127deg47.00'E,,NS31,AM1,18S rDNA,Sanger,,Mycorrhiza,2008,Community of arbuscular mycorrhizal fungi in a coastal vegetation on Okinawa island and effect of the isolated fungi on growth of sorghum under salt-treated conditions,"Yamato, M.; Ikeda, S.; Iwase, K."
ESA02055,AB326018,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Yamato08 B,VTX00113,cultured spores,isolate OGS4,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,successional,Azonal & successional,coastal vegetation,subtropical,Palearctic,9.23,,7.8 mg kg-1 (Truog),,,1944,Asia,Japan,Okinawa Prefecture,Tamagusuku,26deg8.00'N 127deg47.00'E,,NS31,AM1,18S rDNA,Sanger,,Mycorrhiza,2008,Community of arbuscular mycorrhizal fungi in a coastal vegetation on Okinawa island and effect of the isolated fungi on growth of sorghum under salt-treated conditions,"Yamato, M.; Ikeda, S.; Iwase, K."
ESA02048,AB326021,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Yamato08 B,VTX00113,cultured spores,isolate OGS11,Magnoliidae,Asteranae,Solanales,Convolvulaceae,Ipomoea,pes-caprae,successional,Azonal & successional,coastal vegetation,subtropical,Palearctic,9.23,,7.8 mg kg-1 (Truog),,,1944,Asia,Japan,Okinawa Prefecture,Tamagusuku,26deg8.00'N 127deg47.00'E,,NS31,AM1,18S rDNA,Sanger,,Mycorrhiza,2008,Community of arbuscular mycorrhizal fungi in a coastal vegetation on Okinawa island and effect of the isolated fungi on growth of sorghum under salt-treated conditions,"Yamato, M.; Ikeda, S.; Iwase, K."
MOA08427,AB698584,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Goomaral13a Glo3,VTX00113,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Stipa,krylovii,grassland,Temperate natural grassland,steppe,temperate,Palearctic,7.6,12.3 g/kg (Total C),20.9 mg/kg (Available P),1.26 g/kg (Total N),1670,149.6,Asia,Mongolia,Uvurkhangai Province,Uvurkhangai U08,46deg34.06'N 104deg4.10'E,,AML1,AML2,18S rDNA,Sanger,,Mycoscience,2013,Communities of arbuscular mycorrhizal fungi in Stipa krylovii (Poaceae) in the Mongolian steppe,"Goomaral, A.; Iwase, K.; Undarmaa, J.; Matsumoto, T.; Yamato, M."
MOA08447,AB698605,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Goomaral13a Glo3,VTX00113,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Stipa,krylovii,grassland,Temperate natural grassland,steppe,temperate,Palearctic,7.5,35.3 g/kg (Total C),40.0 mg/kg (Available P),3.15 g/kg (Total N),1403,222.5,Asia,Mongolia,Tov Province,Hustai National Park H02,47deg41.39'N 105deg53.59'E,,AML1,AML2,18S rDNA,Sanger,,Mycoscience,2013,Communities of arbuscular mycorrhizal fungi in Stipa krylovii (Poaceae) in the Mongolian steppe,"Goomaral, A.; Iwase, K.; Undarmaa, J.; Matsumoto, T.; Yamato, M."
